Region Oil Gas
Central 3738216 41448336
Central 81917 443545
Western 1437 118210
Western 160122 5274035
Western 643908 24367816
Central 852514 22801299
Central 12898342 50398004
Western 142068 3860198
Central 604031 34714395
Central 5456268 15318195
Central 640476 39589188
Central 1122437 6715837
Western 201997 3171753
Western 7992 7089189
Central 2060827 15002081
Central 1916746 12244325
Western 795809 23121427
Central 1110947 10011009
Western 3643895 16304512
Central 899558 5652249
Western 16211 8555347
Central 78063 320917
Central 3622515 4954169
Western 1 270906
Western 636779 9157541
Western 154704 3784881
Central 433808 8150953
Central 17458874 53391966
Central 2674183 20239846
Central 2325416 10973489
Central 1892149 19290323
Central 997846 2510072
Central 874290 5028373
Western 2469695 14013852
Central 460934 16819911
Western 5210 4256367
Western 18152 8436320
Central 57660 673847
Central 500004 28495467
Central 1490752 12820488
Central 469608 2974147
Western 83435 19812294
Central 980945 11452276
Western 235897 5873752
Western 184760 3057849
Central 992353 7851991
Central 2116601 21903227
Western 1321850 38512076
Central 65536 184632
Western 86 873212
Central 1951233 23169403
Central 10982928 30635083
Western 15 1044872
Central 1948682 8684736
Central 2449307 25345576
Central 1641 3492373
Central 1100707 6677604
Central 5584663 14918888
Central 2586335 10864315
Central 1658950 9706983
Central 42057 32173
Central 183883 3392314
Central 4417579 12084626
Western 16468 10575635
Western 9239 1160834
Central 430106 13206919
Western 192430 3927465
Western 1055813 39644131
Western 27456 8585567
Central 1917220 19804631
Central 884290 12094794
Central 450488 737991
Central 454682 3124232
Central 43527 36612
Western 230 49453
Central 13731965 52188968
Central 534934 18428648
Central 2208537 17826757
Central 2621035 28513024
Central 1940775 26514456
Central 12845 95606
Central 1407675 7153262
Western 214528 1233083
Central 492004 4300304
Western 36220 7788805
Western 15457 5393920
Western 76838 14526429
Western 3274920 21927960
Western 707597 1868202
Central 1468 14687809
Central 362381 29113809
Western 3231782 13410161
Central 1564454 7916323
Central 3461829 30708389
Western 88861 19380062
Central 2363824 11591051
Central 0 271143
Central 123383 604698
Central 649570 6318774
Central 5581300 18677530
Central 37467 33503
Central 141106 823772
Western 214 242497
Central 6691650 14518965
Western 2727960 16021444
Central 2262883 18271392
Central 14099161 48855463
Central 473 8287191
Central 105333 1275447
Central 5816824 14519494
Western 247850 5078852
Central 3355365 39181877
Western 2193259 21677434
Western 2726834 14112000
Western 2455704 12921850
Central 10953752 37746437
Western 910573 28577716
Central 2022296 21862732
Central 3950034 45022244
Central 2881224 36473932
Central 3432605 23364205
Western 19054 5651266
Central 1540361 11934719
Central 41182 37900
Central 2270801 20642590
Central 1831 8356267
Central 11053919 39770832
Central 1665590 9529026
Western 144468 1121250
Western 1198818 38244710
Central 369763 28866305
Central 2624139 28306866
Central 211803 1638439
Central 13074 332388
Western 805496 25020990
Western 2059 185518
Western 835 1447668
Central 2222995 3353108
Central 321688 2368196
Central 115432 2632008
Central 1899218 12721408
Central 2301186 17617537
Central 20430 14031
Central 1049130 26108664
Central 2970 13882064
Western 186475 1683292
Central 3408193 39510806
Central 215302 3661817
Central 1752727 2733199
Central 594256 4858457
Western 1415757 16489985
Central 392233 33686669
Western 7139 1788639
Central 956804 6013802
Central 62480 190745
Western 740928 641125
Western 40963 8441156
Central 64 994942
Western 447503 876524
Central 1200123 10666025
Central 19291 249287
Western 22586 8793672
Central 5870612 20994572
Central 15416 310638
Western 27172 9007455
Western 1711 1858510
Central 32 1171381
Central 2372222 11482547
Central 2428389 24236317
Western 883124 26035135
Central 96465 400741
Central 2228524 21453948
Central 532602 4700537
Central 1874710 11944151
Western 1431 129205
Central 30937 48406
Western 4122253 22132774
Western 51564 14135385
Central 14 136562
Central 59438 355941
Central 1020123 13886866
Central 2821532 30407006
Central 1502712 1934021
Western 774978 33305554
Western 121056 19376173
Central 868487 22632132
Western 151985 1297687
Central 6845527 17565404
Western 1359 195566
Central 263331 2739375
Central 3343200 39925553
Central 2145809 26230475
Central 424489 30291090
Central 29710 13156
Western 881257 26467730
Central 2094315 21569274
Western 82 48368
Central 646601 19700965
Western 1169 184920
Central 1843644 24945450
Western 469 1378019
Western 170862 6855313
Central 1764656 12727974
Western 22436 13494674
Central 1994377 12009417
Central 65 459286
Central 135413 780622
Central 2003682 3016892
Central 342268 34719430
Central 85545 139721
Central 1609225 3012968
Western 3645679 20673789
Central 1402220 11660666
Western 188931 3925767
Western 194086 1394323
Western 208755 6249906
Central 3801031 46357921
Central 1300 7334009
Central 2366051 26607545
Western 151436 3597280
Central 1616933 29859334
Central 0 610556
Central 889194 9695182
Central 2695281 29806313
Central 2044472 26341842
Central 1129127 22566283
Central 3681515 41833637
Central 2190 15119897
Central 2787716 29613497
Central 1705363 2430606
Central 2087002 18108436
Central 2141873 3465101
Central 2419499 25978533
Central 2405872 27869796
Central 18099915 54755448
Central 1246113 9251363
Central 1847257 14670988
Central 2646492 24374341
Central 849601 9436411
Central 457174 14935343
Western 1044321 32552964
Central 12889 203557
Central 3760153 18773592
Central 2244494 12434343
Central 1206886 10682533
Central 1602737 13938482
Western 867782 34009509
Central 842736 10514653
Central 30 683986
Western 3381526 16959474
Western 3920714 21067347
Western 2747689 14218196
Central 57708 145452
Central 2012563 17211028
Central 515310 3595917
Central 1286655 16312997
Western 1168699 10783859
Central 1852746 22565504
Central 2508636 22125793
Western 628418 23498147
Central 1610 5546736
Central 23629 222285
Central 957359 12353303
Central 982030 8411462
Central 47732 35242
Central 1460094 10838613
Central 2708459 29034467
Central 1142773 29086478
Central 1425160 10475683
Central 1889528 24234920
Central 2311525 3591378
Central 71324 813493
Central 1344224 11863509
Central 2233399 18541813
Western 367 1489758
Central 11996 221112
Western 15736 10138788
Western 338 1838579
Central 43907 443973
Western 782581 18544025
Western 91182 18807156
Central 2371669 11087908
Central 40 1178156
Central 222742 1846496
Central 876121 6415821
Central 1945618 20672496
Central 24066 569493
Central 1542 10386103
Western 4 705
Western 772 285116
Central 550493 7280633
Central 449331 10329118
Central 220320 3789025
Central 702 15493547
Central 835550 25718512
Central 1631266 2244234
Western 22012 5895533
Central 5988940 15705988
Western 13 1082788
Central 1024809 1613517
Western 1069486 1153936
Western 2585085 14723577
Central 1151 9764991
Central 560539 6289922
Central 261064 2927386
Western 17277 6876405
Central 2179191 22206396
Central 16413878 49206462
Central 2169219 15629095
Central 2081569 23093411
Central 568300 5529151
Central 2502785 18186791
Central 22248 532660
Western 306 1382562
Central 4830908 20474927
Central 3539130 41308978
Western 2181834 20080463
Western 376 204698
Western 19514 8060438
Central 247427 3082093
Central 13 208463
Central 906825 26367176
Central 194939 14808452
Western 2253131 22982971
Central 16195107 56630559
Central 5112503 10713292
Western 2343 1607034
Western 19261 8859158
Western 140007 6514280
Central 1223422 24851531
Western 3381206 11647337
Central 1973629 14101952
Central 3028537 24325937
Central 55363 699973
Western 803516 31583569
Central 223370 4103400
Central 2179360 30959860
Central 4 284504
Central 56931 138790
Central 60 1441697
Central 116577 448302
Central 450370 32033449
